Symbol,Alias,Description,Function,Gene_Set,Species,Literature_Name,Literature_Link,KEGG_ID,KEGG_Name,Gene_ID
GSTA4,GTA4,"glutathione S-transferase alpha 4","It is involved in oxidative protection as well as the removal of toxins and harmful metabolic by-products.","altered intercellular communication","Homo sapiens","Glutathione S-transferase Isoenzymatic Response to Aging in Rat Cerebral Cortex and Cerebellum",10.1016/s0197-4580(02)00139-2,unknown,Unknown,2941
GSTP1,"GSTP; FAEES3; GST3","glutathione S-transferase pi 1","It is involved in oxidative protection, extend lifespan.","epigenetic alterations","Homo sapiens","DNA methylation in repeat negative prostate biopsies as a marker of missed prostate cancer",10.1186/s13148-019-0746-6,unknown,Unknown,2950
GTF2H2,"BTF2; TFIIH; BTF2P44","general transcription factor IIH, polypeptide 2, 44kDa","Transcription factor II H interacts with a variety of factors during transcription, suggesting that, in addition to its essential role in transcription initiation, it also participates as a regulatory factor.","epigenetic alterations","Homo sapiens","The Transcriptional Complexity of the TFIIH Complex",10.1016/j.tig.2003.08.005,unknown,Unknown,2966
H2AFX,"H2AX; H2A.X","H2A histone family, member X","H2AFX has been involved in DNA repair.","genomic instability","Homo sapiens","Genomic Instability in Mice Lacking Histone H2AX",10.1126/science.1069398,unknown,Unknown,3014
HBP1,"HMG Box-Containing Protein 1","HMG-box transcription factor 1","HBP1 has been related to DNA unwinding and stress response.","genomic instability","Homo sapiens","HBP1: a HMG box transcriptional repressor that is targeted by the retinoblastoma family",10.1101/gad.11.3.383,unknown,Unknown,26959
HDAC1,"HD1; GON-10; RPD3L1","histone deacetylase 1","HDAC1 performs the deacetylation of histones and is an important player in may processes such as development, transcriptional regulation, and cell cycle progression.","epigenetic alterations","Homo sapiens","Histone Deacetylases (HDACs): Characterization of the Classical HDAC Family",10.1042/BJ20021321,hsa04110,"Cell cycle",3065
HDAC2,"RPD3; YAF1","histone deacetylase 2","HDAC2 performs the deacetylation of histones and is an important player in may processes such as development, transcriptional regulation, and cell cycle progression.","cellular senescence","Homo sapiens","Histone Deacetylases (HDACs): Characterization of the Classical HDAC Family",10.1042/BJ20021321,hsa04110,"Cell cycle",3066
HDAC3,"SMAP45; HD3","histone deacetylase 3","Responsible for the deacetylation of lysine residues on the N-terminal part of the core histones (H2A, H2B, H3 and H4), and some other non-histone substrates. Histone deacetylation gives a tag for epigenetic repression and plays an important role in transcriptional regulation, cell cycle progression and developmental events.","epigenetic alterations","Homo sapiens","Histone deacetylases (HDACs): characterization of the classical HDAC family",10.1042/BJ20021321,unknown,Unknown,8841
HELLS,"PASG; SMARCA6; LSH","helicase, lymphoid-specific","The disruption of PASG (lsh), a SNF2-like factor that facilitates DNA methylation, causes global hypomethylation, developmental growth retardation and a premature aging phenotype.","epigenetic alterations","Homo sapiens","Characterization of gene expression, genomic structure, and chromosomal localization of Hells (Lsh)",10.1006/geno.1998.5557,unknown,Unknown,3070
HESX1,"RPX; ANF","HESX homeobox 1","HESX1 is an important regulator of development and, particularly, of pituitary development.",others,"Homo sapiens","Mutations in the homeobox gene HESX1/Hesx1 associated with septo-optic dysplasia in human and mouse",10.1038/477,hsa04550,"Signaling pathways regulating pluripotency of stem cells",8820
