Symbol,Alias,Description,Function,Gene_Set,Species,Literature_Name,Literature_Link,KEGG_ID,KEGG_Name,Gene_ID
SERPINB2,"Serpin Family B Member 2","Monocyte Arg-Serpin","Inhibits urokinase-type plasminogen activator. The monocyte derived PAI-2 is distinct from the endothelial cell-derived PAI-1.","senescence-associated secretory phenotype","Homo sapiens","An Endogenous Anti-aging Factor, Sonic Hedgehog, Suppresses Endometrial Stem Cell Aging through SERPINB2",10.1016/j.ymthe.2019.04.019,hsa04610,"Complement and coagulation cascades",5055
SERPINE1,"Endothelial Plasminogen Activator Inhibitor","serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1","Serine protease inhibitor. SERPINE1 inhibits TMPRSS7. It is a primary inhibitor of tissue-type plasminogen activator (PLAT) and urokinase-type plasminogen activator (PLAU). As PLAT inhibitor, it is required for fibrinolysis down-regulation and is responsible for the controlled degradation of blood clots. As PLAU inhibitor, it is involved in the regulation of cell adhesion and spreading.","cellular senescence","Homo sapiens","Plasminogen Activator inhibitor-1 Is a Critical Downstream Target of p53 in the Induction of Replicative Senescence",10.1038/ncb1448,hsa04115,"p53 signaling pathway",5054
SESN1,"P53 Regulated PA26 Nuclear Protein",Sestrin-1,"SESN1 functions as an intracellular leucine sensor that negatively regulates the TORC1 signaling pathway through the GATOR complex. In absence of leucine, SESN1 binds the GATOR subcomplex GATOR2 and prevents TORC1 signaling. Binding of leucine to SESN2 disrupts its interaction with GATOR2 thereby activating the TORC1 signaling pathway. This stress-inducible metabolic regulator may also play a role in protection against oxidative and genotoxic stresses.",others,"Homo sapiens","Regeneration of peroxiredoxins by p53-regulated sestrins, homologs of bacterial AhpD",10.1126/science.1095569,hsa04211,"Longevity regulating pathway",27244
SESN2,SEST2,Sestrin-2,"SESN2 functions as an intracellular leucine sensor that negatively regulates the TORC1 signaling pathway through the GATOR complex. In absence of leucine, SESN2 binds the GATOR subcomplex GATOR2 and prevents TORC1 signaling. This stress-inducible metabolic regulator also plays a role in protection against oxidative and genotoxic stresses. SESN2 may negatively regulate protein translation in response to endoplasmic reticulum stress, via TORC1.",others,"Homo sapiens","Regeneration of peroxiredoxins by p53-regulated sestrins, homologs of bacterial AhpD",10.1126/science.1095569,hsa04211,"Longevity regulating pathway",83667
SESN3,SEST3,Sestrin-3,"SESN3 may function as an intracellular leucine sensor that negatively regulates the TORC1 signaling pathway. SESN3 may also regulate the insulin-receptor signaling pathway through activation of TORC2. This metabolic regulator may also play a role in protection against oxidative and genotoxic stresses.","altered intercellular communication","Homo sapiens","The Sestrins interact with GATOR2 to negatively regulate the amino-acid-sensing pathway upstream of mTORC1",10.1016/j.celrep.2014.09.014,hsa04211,"Longevity regulating pathway",143686
SHC1,"SHCA; SHC","SHC (Src homology 2 domain containing) transforming protein 1","Signaling adapter that couples activated growth factor receptors to signaling pathways. SHC1 participates in a signaling cascade initiated by activated KIT and KITLG/SCF.",others,"Homo sapiens","Association Analysis of the SHC1 Gene Locus With Longevity in the Japanese Population",10.1007/s00109-003-0485-0,hsa04910,"Insulin signaling pathway",6464
SIN3A,"KIAA0700; DKFZP434K2235","SIN3 transcription regulator family member A","The protein encoded by this gene is a transcriptional regulatory protein. It contains paired amphipathic helix (PAH) domains, which are important for protein-protein interactions and may mediate repression by the Mad-Max complex.","cellular senescence","Homo sapiens","Expression of Transcriptional Repressor Protein mSin3A but Not mSin3B Is Induced During Neuronal Apoptosis",10.1006/bbrc.1998.9629,unknown,Unknown,25942
SIRT1,SIR2L1,"sirtuin 1","SIRT1 is a NAD-dependent deacetylase, which can regulate a number of processes by deacetylating key proteins, such as TP53.","epigenetic alterations","Homo sapiens","Identification of serum sirtuins as novel noninvasive protein markers for frailty",10.1111/acel.12260,hsa04211,"Longevity regulating pathway",23411
SIRT3,"NAD-Dependent Protein Deacetylase Sirtuin-3","sirtuin 3","NAD-dependent protein deacetylase. SIRT3 activates or deactivates mitochondrial target proteins by deacetylating key lysine residues. SIRT3 contributes to the regulation of the cellular energy metabolism. SIRT3 is important for regulating tissue-specific ATP levels.","mitochondrial dysfunction","Homo sapiens","The human silent information regulator (Sir)2 homologue hSIRT3 is a mitochondrial nicotinamide adenine dinucleotide-dependent deacetylase",https://doi.org/10.1083/jcb.200205057,unknown,Unknown,23410
SIRT6,"NAD-Dependent Protein Deacetylase Sirtuin-6; SIR2-Like Protein 6","sirtuin 6","NAD-dependent protein deacetylase. SIRT6 has deacetylase activity towards histone H3K9Ac and H3K56Ac. SIRT6 modulates acetylation of histone H3 in telomeric chromatin during the S-phase of the cell cycle. SIRT6 acts as a corepressor of the transcription factor HIF1A to control the expression of multiple glycolytic genes to regulate glucose homeostasis.","epigenetic alterations","Homo sapiens","Structure and Biochemical Functions of SIRT6",10.1074/jbc.M111.218990,unknown,Unknown,51548
SIRT7,"Regulatory Protein SIR2 Homolog 7","sirtuin 7","NAD-dependent protein-lysine deacylase that can act both as a deacetylase or deacylase (desuccinylase, depropionylase and deglutarylase), depending on the context. It specifically mediates deacetylation of histone H3 at 'Lys-18' (H3K18Ac). In contrast to other histone deacetylases, it displays strong preference for a specific histone mark, H3K18Ac, directly linked to control of gene expression. H3K18Ac is mainly present around the transcription start site of genes and has been linked to activation of nuclear hormone receptors; SIRT7 thereby acts as a transcription represso.","epigenetic alterations","Homo sapiens","SIRT7 Links H3K18 Deacetylation to Maintenance of Oncogenic Transformation",10.1038/nature11043,unknown,Unknown,51547
