Symbol,Alias,Description,Function,Gene_Set,Species,Literature_Name,Literature_Link,KEGG_ID,KEGG_Name,Gene_ID
CHEK2,"Serine/Threonine-Protein Kinase Chk2","checkpoint kinase 2","Serine/threonine-protein kinase which is required for checkpoint-mediated cell cycle arrest, activation of DNA repair and apoptosis in response to the presence of DNA double-strand breaks. May also negatively regulate cell cycle progression during unperturbed cell cycles. May also phosphorylate NEK6 which is involved in G2/M cell cycle arrest. Regulates DNA repair through phosphorylation of BRCA2, enhancing the association of RAD51 with chromatin which promotes DNA repair by homologous recombination. Also stimulates the transcription of genes involved in DNA repair (including BRCA2) through the phosphorylation and activation of the transcription factor FOXM1. Regulates apoptosis through the phosphorylation of p53/TP53, MDM4 and PML. Also controls the transcription of pro-apoptotic genes through phosphorylation of the transcription factor E2F1.","genomic instability","Homo sapiens","Chk2 and REGγ-dependent DBC1 Regulation in DNA Damage Induced Apoptosis",10.1093/nar/gku1065,hsa04115,"p53 signaling pathway",11200
CISD2,"CDGSH Iron Sulfur Domain 2","CDGSH iron sulfur domain 2","Regulator of autophagy that contributes to antagonize BECN1-mediated cellular autophagy at the endoplasmic reticulum. Participates in the interaction of BCL2 with BECN1 and is required for BCL2-mediated depression of endoplasmic reticulum Ca2+?stores during autophagy. Contributes to BIK-initiated autophagy, while it is not involved in BIK-dependent activation of caspases. Involved in life span control, probably via its function as regulator of autophagy.",others,"Homo sapiens","A homozygous mutation in a novel zinc-finger protein, ERIS, is responsible for Wolfram syndrome 2",10.1086/520961,unknown,Unknown,493856
CLOCK,"Circadian Locomoter Output Cycles Protein Kaput","clock circadian regulator","Transcriptional activator which forms a core component of the circadian clock. The circadian clock, an internal time-keeping system, regulates various physiological processes through the generation of approximately 25 hour circadian rhythms in gene expression, which are translated into rhythms in metabolism and behavior.",others,"Homo sapiens","Intermolecular Recognition Revealed by the Complex Structure of Human CLOCK-BMAL2 Basic Helix-Loop-Helix Domains With E-box DNA",10.1038/cr.2012.171,unknown,Unknown,9575
CLU,"SGP-2; SP-40; TRPM-2",clusterin,"It may be involved in apoptosis.","cellular senescence","Homo sapiens","Serum Levels of the Senescence Biomarker clusterin/apolipoprotein J Increase Significantly in Diabetes Type II and During Development of Coronary Heart Disease or at Myocardial Infarction",10.1016/s0531-5565(02)00139-0,unknown,Unknown,1191
CNR1,CANN6,"cannabinoid receptor 1 (brain)","G-protein coupled receptor for endogenous cannabinoids (eCBs), including N-arachidonoylethanolamide (also called anandamide or AEA) and 2-arachidonoylglycerol (2-AG), as well as phytocannabinoids, such as delta9-tetrahydrocannabinol (THC). Mediates many cannabinoid-induced effects, acting, among others, on food intake, memory loss, gastrointestinal motility, catalepsy, ambulatory activity, anxiety, chronic pain. Signaling typically involves reduction in cyclic AMP. In the hypothalamus, may have a dual effect on mitochondrial respiration depending upon the agonist dose and possibly upon the cell type. May also affect de novo cholesterol synthesis and HDL-cholesteryl ether uptake. Peripherally modulates energy metabolism.","deregulated nutrient sensing","Homo sapiens","CB1 cannabinoid receptor activity is modulated by the cannabinoid receptor interacting protein CRIP 1a",10.1124/mol.107.039263,unknown,Unknown,1268
COQ7,"CLK-1; CAT5","coenzyme Q7 homolog, ubiquinone (yeast)","2-fold reduction of MCLK1 expression in mice affects mitochondrial function substantially, and also exhibit surprisingly high levels of oxidative damage and early mitochondrial dysfunction.","mitochondrial dysfunction","Homo sapiens","Conservation of the Caenorhabditis elegans timing gene clk-1 from yeast to human: a gene required for ubiquinone biosynthesis with potential implications for aging",10.1007/s003359901147,unknown,Unknown,10229
CREB1,"Cyclic Adenosine 3',5'-Monophosphate Response Element Binding Protein","cAMP responsive element binding protein 1","This gene encodes a transcription factor that is a member of the leucine zipper family of DNA binding proteins. This protein binds as a homodimer to the cAMP-responsive element, an octameric palindrome.","genomic instability","Homo sapiens","Direct regulation of CREB transcriptional activity by ATM in response to genotoxic stress",10.1073/pnas.0307718101,hsa04211,"Longevity regulating pathway",1385
CREB3,"Transcription Factor LZIP-Alpha","cyclic AMP-responsive element-binding protein 3","Endoplasmic reticulum (ER)-bound sequence-specific transcription factor that directly binds DNA and activates transcription. Plays a role in the unfolded protein response (UPR), promoting cell survival versus ER stress-induced apoptotic cell death. Also involved in cell proliferation, migration and differentiation, tumor suppression and inflammatory gene expression. Acts as a positive regulator of LKN-1/CCL15-induced chemotaxis signaling of leukocyte cell migration. Associates with chromatin to the HERPUD1 promoter. Also induces transcriptional activation of chemokine receptors.","loss of proteostasis","Homo sapiens","Luman is capable of binding and activating transcription from the unfolded protein response element",10.1016/j.bbrc.2005.03.141,hsa04211,"Longevity regulating pathway",10488
CREB3L1,OASIS,"cyclic AMP-responsive element-binding protein 3-like protein 1","Transcription factor involved in unfolded protein response (UPR). Binds the DNA consensus sequence 5'-GTGXGCXGC-3'. In the absence of endoplasmic reticulum (ER) stress, inserted into ER membranes, with N-terminal DNA-binding and transcription activation domains oriented toward the cytosolic face of the membrane. In response to ER stress, transported to the Golgi, where it is cleaved in a site-specific manner by resident proteases S1P/MBTPS1 and S2P/MBTPS2. The released N-terminal cytosolic domain is translocated to the nucleus to effect transcription of specific target genes. Plays a critical role in bone formation through the transcription of COL1A1, and possibly COL1A2, and the secretion of bone matrix proteins. Directly binds to the UPR element (UPRE)-like sequence in an osteoblast-specific COL1A1 promoter region and induces its transcription. Does not regulate COL1A1 in other tissues, such as skin.","loss of proteostasis","Homo sapiens","OASIS is a transcriptional activator of CREB/ATF family with a transmembrane domain",10.1016/S0006-291X(02)00253-X,hsa04211,"Longevity regulating pathway",90993
CREB3L2,"B-ZIB Transcription Factor","cyclic AMP-responsive element-binding protein 3-like protein 2","Transcription factor involved in unfolded protein response (UPR). In the absence of endoplasmic reticulum (ER) stress, inserted into ER membranes, with N-terminal DNA-binding and transcription activation domains oriented toward the cytosolic face of the membrane. In response to ER stress, transported to the Golgi, where it is cleaved in a site-specific manner by resident proteases S1P/MBTPS1 and S2P/MBTPS2. The released N-terminal cytosolic domain is translocated to the nucleus to effect transcription of specific target genes. Plays a critical role in chondrogenesis by activating the transcription of SEC23A, which promotes the transport and secretion of cartilage matrix proteins, and possibly that of ER biogenesis-related genes. In a neuroblastoma cell line, protects cells from ER stress-induced death. In vitro activates transcription of target genes via direct binding to the CRE site.","loss of proteostasis","Homo sapiens","BBF2H7, a novel transmembrane bZIP transcription factor, is a new type of endoplasmic reticulum stress transducer",10.1128/MCB.01552-06,hsa04211,"Longevity regulating pathway",64764
CREB3L3,"Transcription Factor CREB-H","cyclic AMP-responsive element-binding protein 3-like protein 3","Transcription factor that may act during endoplasmic reticulum stress by activating unfolded protein response target genes. Activated in response to cAMP stimulation. In vitro, binds to the cAMP response element (CRE) and box-B element. Activates transcription through box-B element. Activates transcription through CRE. Seems to function synergistically with ATF6. In acute inflammatory response, may activate expression of acute phase response (APR) genes. May be involved in growth suppression.","loss of proteostasis","Homo sapiens","CREB-H: a novel mammalian transcription factor belonging to the CREB/ATF family and functioning via the box-B element with a liver-specific expression",10.1093/nar/29.10.2154,hsa04211,"Longevity regulating pathway",84699
